arm,checkpoint,step,temperature,sliding_window,cache_mode,transport,scored_eviction,carriers,seed,split,examples,skipped_overlong,parseable,valid,exact,mean_board_square_error,mean_metadata_errors,elapsed_s,target_nll_per_token,recent_window,memory_tokens,cache_budget
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,192,preserve,False,False,False,1337,val,32,16,26,22,0,9.0,0.19230769230769232,13.292217016220093,0.6999569455442944,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,192,restart,False,False,False,1337,val,32,16,26,22,0,9.0,0.19230769230769232,17.840173959732056,0.6995568370547389,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,192,restart-each,False,False,False,1337,val,32,16,26,22,0,9.0,0.19230769230769232,36.67588686943054,0.6991033951441447,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,128,preserve,False,False,False,1337,val,32,16,27,23,0,8.925925925925926,0.18518518518518517,8.689758062362671,0.7052540962512677,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,128,restart,False,False,False,1337,val,32,16,27,23,0,8.962962962962964,0.18518518518518517,9.326236009597778,0.7046919174683399,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,128,restart-each,False,False,False,1337,val,32,16,27,23,0,8.88888888888889,0.18518518518518517,34.37660098075867,0.7022827279533755,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,96,preserve,False,False,False,1337,val,32,16,27,23,0,8.555555555555555,0.14814814814814814,13.192580938339233,0.6581882414994417,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,96,restart,False,False,False,1337,val,32,16,28,24,0,8.464285714285714,0.17857142857142858,26.584505081176758,0.6600063169783676,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,96,restart-each,False,False,False,1337,val,32,16,25,20,0,8.8,0.16,35.9209930896759,0.6782992241049763,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,64,preserve,False,False,False,1337,val,32,16,29,27,0,9.344827586206897,0.2413793103448276,0.5897829532623291,0.6596228269769935,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,64,restart,False,False,False,1337,val,32,16,30,26,0,9.7,0.3,0.6079490184783936,0.6717319763623751,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,64,restart-each,False,False,False,1337,val,32,16,30,25,0,10.933333333333334,0.3,7.353747367858887,0.7601700082124129,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,32,preserve,False,False,False,1337,val,32,16,26,21,0,14.192307692307692,0.4230769230769231,0.466947078704834,0.9779667372037882,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,32,restart,False,False,False,1337,val,32,16,26,18,0,16.076923076923077,0.5,0.5522348880767822,1.049094333947554,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,32,restart-each,False,False,False,1337,val,32,16,16,12,0,18.25,0.75,8.595682144165039,1.2776504070670516,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,16,preserve,False,False,False,1337,val,32,16,4,2,0,23.0,1.0,0.801832914352417,1.9210495697467076,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,16,restart,False,False,False,1337,val,32,16,4,4,0,22.5,0.5,0.9233629703521729,1.947935366392815,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,16,restart-each,False,False,False,1337,val,32,16,3,3,0,25.666666666666668,0.3333333333333333,11.526647090911865,2.179582189800393,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,,preserve,False,False,False,1337,val,32,16,20,19,4,2.5,0.0,0.46695613861083984,0.560240133875116,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,,restart,False,False,False,1337,val,32,16,20,19,4,2.5,0.0,0.506666898727417,0.5602401450828269,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,,restart-each,False,False,False,1337,val,32,16,20,19,4,2.5,0.0,7.597935914993286,0.560240299953015,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,192,preserve,False,False,False,1337,val,32,16,20,19,4,2.5,0.0,0.599484920501709,0.5591135646542932,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,192,restart,False,False,False,1337,val,32,16,20,19,4,2.5,0.0,0.6152901649475098,0.5608503088312611,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,192,restart-each,False,False,False,1337,val,32,16,20,19,4,2.5,0.0,8.727818965911865,0.5548629937348543,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,128,preserve,False,False,False,1337,val,32,16,20,19,4,2.85,0.0,0.5545473098754883,0.5025224471703554,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,128,restart,False,False,False,1337,val,32,16,20,19,4,2.85,0.0,0.5828430652618408,0.4975127798539621,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,128,restart-each,False,False,False,1337,val,32,16,22,20,4,3.1363636363636362,0.0,8.749604225158691,0.4963529378260642,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,96,preserve,False,False,False,1337,val,32,16,28,25,4,3.3214285714285716,0.03571428571428571,0.5848598480224609,0.37312850211760257,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,96,restart,False,False,False,1337,val,32,16,26,25,4,3.5,0.038461538461538464,0.5327889919281006,0.3971418200055419,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,96,restart-each,False,False,False,1337,val,32,16,26,24,4,4.769230769230769,0.15384615384615385,8.967139959335327,0.4453067976525027,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,64,preserve,False,False,False,1337,val,32,16,31,27,5,3.903225806451613,0.0967741935483871,0.49640583992004395,0.35586898347251433,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,64,restart,False,False,False,1337,val,32,16,31,29,5,5.032258064516129,0.0967741935483871,0.5019190311431885,0.4057436875807933,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,64,restart-each,False,False,False,1337,val,32,16,30,29,2,8.2,0.2,7.996042966842651,0.6987132370641768,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,32,preserve,False,False,False,1337,val,32,16,31,27,2,8.96774193548387,0.25806451612903225,0.5633060932159424,0.5919383526527644,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,32,restart,False,False,False,1337,val,32,16,31,29,2,12.451612903225806,0.25806451612903225,0.5917329788208008,0.7474969516792188,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,32,restart-each,False,False,False,1337,val,32,16,25,17,0,16.16,0.64,9.10063099861145,1.2215968292323274,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,16,preserve,False,False,False,1337,val,32,16,31,27,0,17.225806451612904,0.5806451612903226,0.5300579071044922,1.0090414771327265,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,16,restart,False,False,False,1337,val,32,16,28,26,0,19.357142857142858,0.5357142857142857,0.5535759925842285,1.0723620772022129,,,
swa-variable,runs/controlled-swa-variable/checkpoint-0000500.npz,500,0.0,16,restart-each,False,False,False,1337,val,32,16,10,10,0,25.6,0.7,12.84195613861084,1.7246492165445941,,,
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,preserve,False,False,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,0.7490420341491699,0.7631623497036447,,,
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart,False,False,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,0.9218690395355225,0.7631623845154744,,,
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart-each,False,False,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,13.605183124542236,0.7631623862136123,,,
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,preserve,False,True,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,1.8227381706237793,0.7593832092407422,184,8,192
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart,False,True,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,2.23354172706604,0.7602469423557618,184,8,192
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart-each,False,True,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,17.46548295021057,0.7588418474224558,184,8,192
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,preserve,False,True,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,1.4849810600280762,0.729762765247258,120,8,128
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart,False,True,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,2.1642439365386963,0.7263483692098547,120,8,128
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart-each,False,True,False,1337,val,32,16,12,12,3,3.5,0.16666666666666666,15.57020115852356,0.7314771052099701,120,8,128
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,preserve,False,True,False,1337,val,32,16,15,15,3,4.6,0.2,1.0417718887329102,0.5844639507454006,88,8,96
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart,False,True,False,1337,val,32,16,15,15,3,4.733333333333333,0.2,1.5560920238494873,0.595649524801477,88,8,96
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart-each,False,True,False,1337,val,32,16,16,14,3,5.6875,0.25,13.674117803573608,0.6273247723565821,88,8,96
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,preserve,False,True,False,1337,val,32,16,28,27,3,5.785714285714286,0.17857142857142858,0.9890789985656738,0.41180005949786586,56,8,64
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart,False,True,False,1337,val,32,16,26,25,3,5.923076923076923,0.23076923076923078,1.4113800525665283,0.4538338600400506,56,8,64
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart-each,False,True,False,1337,val,32,16,28,24,2,8.821428571428571,0.32142857142857145,12.291177034378052,0.6538266111642886,56,8,64
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,preserve,False,True,False,1337,val,32,16,32,28,3,7.65625,0.15625,0.8869681358337402,0.5196963029030042,24,8,32
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart,False,True,False,1337,val,32,16,32,28,3,11.65625,0.21875,1.2763350009918213,0.7764307124662263,24,8,32
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart-each,False,True,False,1337,val,32,16,22,16,0,15.318181818181818,0.6363636363636364,14.254915952682495,1.1910713123120473,24,8,32
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,preserve,False,True,False,1337,val,32,16,8,6,1,13.75,0.25,1.1890621185302734,1.403603675698283,8,8,16
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart,False,True,False,1337,val,32,16,9,3,1,20.0,0.3333333333333333,2.3382620811462402,1.6735341131177723,8,8,16
scored,runs/controlled-scored/checkpoint-0000500.npz,500,0.0,,restart-each,False,True,False,1337,val,32,16,5,1,0,23.0,0.6,13.81497597694397,2.1449248665078753,8,8,16
